Size of Hidden Layer: 2
Learning Rate: 0.1
Number of Epochs: 1000
Time Per Epoch: 0.043 s

Epoch: 0/1000, loss: 0, correct: 0
Epoch: 10/1000, loss: 35.324861023786724, correct: 29
Epoch: 20/1000, loss: 34.979292967802905, correct: 29
Epoch: 30/1000, loss: 34.762556169188606, correct: 29
Epoch: 40/1000, loss: 34.60816533372145, correct: 29
Epoch: 50/1000, loss: 34.494658287386784, correct: 29
Epoch: 60/1000, loss: 34.409481283892106, correct: 29
Epoch: 70/1000, loss: 34.33941778823167, correct: 29
Epoch: 80/1000, loss: 34.28032918855381, correct: 29
Epoch: 90/1000, loss: 34.229173428953956, correct: 29
Epoch: 100/1000, loss: 34.18366305636516, correct: 29
Epoch: 110/1000, loss: 34.142360229603405, correct: 29
Epoch: 120/1000, loss: 34.10401714029922, correct: 29
Epoch: 130/1000, loss: 34.067503752165166, correct: 29
Epoch: 140/1000, loss: 34.03175206067834, correct: 29
Epoch: 150/1000, loss: 33.99570816183279, correct: 29
Epoch: 160/1000, loss: 33.95828670354486, correct: 29
Epoch: 170/1000, loss: 33.9183235558928, correct: 29
Epoch: 180/1000, loss: 33.874522747147786, correct: 29
Epoch: 190/1000, loss: 33.82539321751465, correct: 29
Epoch: 200/1000, loss: 33.76890523190153, correct: 29
Epoch: 210/1000, loss: 33.70162634785459, correct: 29
Epoch: 220/1000, loss: 33.62072950664336, correct: 29
Epoch: 230/1000, loss: 33.515132970467306, correct: 29
Epoch: 240/1000, loss: 33.37644643737328, correct: 29
Epoch: 250/1000, loss: 33.19747033764854, correct: 29
Epoch: 260/1000, loss: 32.96590161119575, correct: 29
Epoch: 270/1000, loss: 32.63159103482849, correct: 29
Epoch: 280/1000, loss: 32.17286759649266, correct: 29
Epoch: 290/1000, loss: 31.55753810420218, correct: 29
Epoch: 300/1000, loss: 30.810799914876423, correct: 29
Epoch: 310/1000, loss: 29.857463342597406, correct: 29
Epoch: 320/1000, loss: 28.74806595249853, correct: 31
Epoch: 330/1000, loss: 27.411777179124368, correct: 35
Epoch: 340/1000, loss: 25.935262972313705, correct: 37
Epoch: 350/1000, loss: 24.333129642330835, correct: 37
Epoch: 360/1000, loss: 22.714843189862727, correct: 38
Epoch: 370/1000, loss: 21.065545631164394, correct: 43
Epoch: 380/1000, loss: 19.381632392589893, correct: 46
Epoch: 390/1000, loss: 17.79157018692383, correct: 46
Epoch: 400/1000, loss: 16.37305123630181, correct: 47
Epoch: 410/1000, loss: 15.146195902976357, correct: 47
Epoch: 420/1000, loss: 14.037470891927295, correct: 47
Epoch: 430/1000, loss: 13.090610866907916, correct: 47
Epoch: 440/1000, loss: 12.24687485471943, correct: 48
Epoch: 450/1000, loss: 11.510434420669528, correct: 48
Epoch: 460/1000, loss: 10.851948757527275, correct: 48
Epoch: 470/1000, loss: 10.272596903104944, correct: 48
Epoch: 480/1000, loss: 9.751202863011763, correct: 48
Epoch: 490/1000, loss: 9.277899483017775, correct: 48
Epoch: 500/1000, loss: 8.850987004439588, correct: 48
Epoch: 510/1000, loss: 8.467925326372471, correct: 48
Epoch: 520/1000, loss: 8.119441555394706, correct: 48
Epoch: 530/1000, loss: 7.800507402853984, correct: 48
Epoch: 540/1000, loss: 7.505715805690182, correct: 48
Epoch: 550/1000, loss: 7.232446901654254, correct: 48
Epoch: 560/1000, loss: 6.978467284372399, correct: 48
Epoch: 570/1000, loss: 6.741832072473783, correct: 48
Epoch: 580/1000, loss: 6.520842614067587, correct: 48
Epoch: 590/1000, loss: 6.314056151436294, correct: 49
Epoch: 600/1000, loss: 6.120112289235456, correct: 49
Epoch: 610/1000, loss: 5.937847524610134, correct: 49
Epoch: 620/1000, loss: 5.766234598661304, correct: 49
Epoch: 630/1000, loss: 5.604361670838522, correct: 49
Epoch: 640/1000, loss: 5.451417130747404, correct: 49
Epoch: 650/1000, loss: 5.306676652802244, correct: 49
Epoch: 660/1000, loss: 5.169492120653425, correct: 49
Epoch: 670/1000, loss: 5.039282122243077, correct: 49
Epoch: 680/1000, loss: 4.91552377029428, correct: 49
Epoch: 690/1000, loss: 4.797745645797326, correct: 49
Epoch: 700/1000, loss: 4.685521696298389, correct: 49
Epoch: 710/1000, loss: 4.578465948459609, correct: 49
Epoch: 720/1000, loss: 4.476227916894429, correct: 49
Epoch: 730/1000, loss: 4.378488609780329, correct: 49
Epoch: 740/1000, loss: 4.2849570470417095, correct: 49
Epoch: 750/1000, loss: 4.195466244596545, correct: 49
Epoch: 760/1000, loss: 4.110907677235945, correct: 49
Epoch: 770/1000, loss: 4.030468614928032, correct: 49
Epoch: 780/1000, loss: 3.954097444876914, correct: 49
Epoch: 790/1000, loss: 3.88070698042621, correct: 49
Epoch: 800/1000, loss: 3.8100520084325633, correct: 49
Epoch: 810/1000, loss: 3.741979293840301, correct: 49
